Scenario,Strategy,Total Cost,Production Cost,Transport Cost,Holding Cost,Shortage Cost,Service Level,Total Shortage,CO2
baseline,No_Risk,52970344.95891481,22399861.281528346,19788612.46004027,0.0,10781871.217346191,0.9181386904665119,53909.35608673096,9266434.854961088
baseline,XGB_Risk,52970344.95891481,22399861.281528346,19788612.46004027,0.0,10781871.217346191,0.9181386904665119,53909.35608673096,9266434.854961088
baseline,GAT_Risk,52970344.95891481,22399861.281528346,19788612.46004027,0.0,10781871.217346191,0.9181386904665119,53909.35608673096,9266434.854961088
regional_spike,No_Risk,106910331.72038943,22399861.281528346,19788612.46004027,0.0,64721857.9788208,0.6548870684542093,323609.289894104,9266434.854961088
regional_spike,XGB_Risk,106910331.72038943,22399861.281528346,19788612.46004027,0.0,64721857.9788208,0.6548870684542093,323609.289894104,9266434.854961088
regional_spike,GAT_Risk,106910331.72038943,22399861.281528346,19788612.46004027,0.0,64721857.9788208,0.6548870684542093,323609.289894104,9266434.854961088
plant_capacity_reduction,No_Risk,104106801.38829601,7771292.840319259,4782427.200175662,0.0,91553081.34780109,0.304883634772103,457765.4067390054,2359735.670451356
plant_capacity_reduction,XGB_Risk,105283488.91393219,7771292.840319255,7014221.6868714485,0.0,90497974.38674149,0.3128945297076017,452489.87193370744,3252453.465129668
plant_capacity_reduction,GAT_Risk,104862380.27214047,7771292.84031926,5634756.5134492,0.0,91456330.918372,0.3056182119796521,457281.65459186,2700667.395760768
warehouse_reduction,No_Risk,52970344.95891481,22399861.281528346,19788612.46004027,0.0,10781871.217346191,0.9181386904665119,53909.35608673096,9266434.854961088
warehouse_reduction,XGB_Risk,52970344.95891481,22399861.281528346,19788612.46004027,0.0,10781871.217346191,0.9181386904665119,53909.35608673096,9266434.854961088
warehouse_reduction,GAT_Risk,52970344.95891481,22399861.281528346,19788612.46004027,0.0,10781871.217346191,0.9181386904665119,53909.35608673096,9266434.854961088
route_disruption,No_Risk,52970344.9589148,22399861.281528343,19788612.460040264,0.0,10781871.217346191,0.9181386904665119,53909.35608673096,9266434.854961088
route_disruption,XGB_Risk,52970344.9589148,22399861.281528343,19788612.460040264,0.0,10781871.217346191,0.9181386904665119,53909.35608673096,9266434.854961088
route_disruption,GAT_Risk,52970344.9589148,22399861.281528343,19788612.460040264,0.0,10781871.217346191,0.9181386904665119,53909.35608673096,9266434.854961088
combined,No_Risk,141187838.5640253,12952154.733865429,8651929.819202363,0.0,119583754.01095752,0.362349889190802,597918.7700547876,4205379.911649431
combined,XGB_Risk,143337909.15282673,12952154.733865432,11517892.97767989,0.0,118867861.4412814,0.36616720518123036,594339.307206407,5351765.175040442
combined,GAT_Risk,143169804.6416243,12952154.73386543,10987810.01824364,0.0,119229839.88951524,0.3642370466949387,596149.1994475762,5139731.991265943
